bbsname,cname,ename,sname,shortname
赤喉鷚,赤喉鷚,Red-throated Pipit,Anthus cervinus,"RTPI,ANCE"
水鷚,水鷚,Water Pipit,Anthus spinoletta,"WAPI,ANSP"
黃腹鷚,黃腹鷚,American Pipit,Anthus rubescens,"AMPI,BBPI,ANRU"
鷚屬(XX鷚),鷚屬,pipit sp.,Anthus sp.,
花雀,花雀,Brambling,Fringilla montifringilla,"BRAM,FRMO"
臘嘴雀,臘嘴雀,Hawfinch,Coccothraustes coccothraustes,"HAWF,COCO"
小桑鳲,小桑鳲,Yellow-billed Grosbeak,Eophona migratoria,"YBGR,CHGR,EOMI"
桑鳲,桑鳲,Japanese Grosbeak,Eophona personata,"JAGR,EOPE"
普通朱雀,普通朱雀,Common Rosefinch,Carpodacus erythrinus,"CORO,CAER"
台灣朱雀,台灣朱雀,Taiwan Rosefinch,Carpodacus formosanus,"TARO,CAFO"
褐鷽,褐鷽,Brown Bullfinch,Pyrrhula nipalensis,"BRBU,PYNI"
灰鷽,灰鷽,Gray-headed Bullfinch,Pyrrhula erythaca,"GHBU,PYER"
褐鷽/灰鷽,褐鷽/灰鷽,Brown/Gray-headed Bullfinch,Pyrrhula nipalensis/erythaca,
金翅雀,金翅雀,Oriental Greenfinch,Chloris sinica,"ORGR,GCGR,CHSI"
黃額絲雀,黃額絲雀,Yellow-fronted Canary,Crithagra mozambica,"YFCA,CRMO"
普通朱頂雀,普通朱頂雀,Common Redpoll,Acanthis flammea,"CORE,ACFL"
黃雀,黃雀,Eurasian Siskin,Spinus spinus,"EUSI,SPSP"
雀科,雀科,finch sp.,Fringillidae sp.,
鐵爪鵐,鐵爪鵐,Lapland Longspur,Calcarius lapponicus,"LALO,LABU,CALA"
冠鵐,冠鵐,Crested Bunting,Emberiza lathami,"CRBU,EMLA"
黑頭鵐,黑頭鵐,Black-headed Bunting,Emberiza melanocephala,"BHBU,EMME"
褐頭鵐,褐頭鵐,Red-headed Bunting,Emberiza bruniceps,"RHBU,EMBR"
黑頭/褐頭鵐,黑頭/褐頭鵐,Black-headed/Red-headed Bunting,Emberiza melanocephala/bruniceps,
赤胸鵐,赤胸鵐,Chestnut-eared Bunting,Emberiza fucata,"CEBU,EMFU"
草鵐,草鵐,Meadow Bunting,Emberiza cioides,"MEBU,EMCI"
